T:0.007	nS:9850	nQ:0	nE:0	nI:150	nP:0	nR:0	nF:0	node:[2418]	I -> R
T:0.016	nS:9850	nQ:0	nE:0	nI:149	nP:0	nR:1	nF:0	node:[2957]	I -> R
T:0.038	nS:9850	nQ:0	nE:0	nI:148	nP:0	nR:2	nF:0	node:[1405]	S -> E
T:0.048	nS:9849	nQ:0	nE:1	nI:148	nP:0	nR:2	nF:0	node:[8594]	S -> E
T:0.081	nS:9848	nQ:0	nE:2	nI:148	nP:0	nR:2	nF:0	node:[9008]	I -> R
T:0.095	nS:9848	nQ:0	nE:2	nI:147	nP:0	nR:3	nF:0	node:[2151]	S -> E
T:0.118	nS:9847	nQ:0	nE:3	nI:147	nP:0	nR:3	nF:0	node:[9680]	I -> R
T:0.124	nS:9847	nQ:0	nE:3	nI:146	nP:0	nR:4	nF:0	node:[6983]	S -> E
T:0.146	nS:9846	nQ:0	nE:4	nI:146	nP:0	nR:4	nF:0	node:[5521]	S -> E
T:0.154	nS:9845	nQ:0	nE:5	nI:146	nP:0	nR:4	nF:0	node:[5627]	I -> R
T:0.185	nS:9845	nQ:0	nE:5	nI:145	nP:0	nR:5	nF:0	node:[7951]	S -> E
T:0.203	nS:9844	nQ:0	nE:6	nI:145	nP:0	nR:5	nF:0	node:[3622]	I -> R
T:0.211	nS:9844	nQ:0	nE:6	nI:144	nP:0	nR:6	nF:0	node:[2137]	S -> E
T:0.245	nS:9843	nQ:0	nE:7	nI:144	nP:0	nR:6	nF:0	node:[9396]	I -> R
T:0.253	nS:9843	nQ:0	nE:7	nI:143	nP:0	nR:7	nF:0	node:[758]	S -> E
T:0.263	nS:9842	nQ:0	nE:8	nI:143	nP:0	nR:7	nF:0	node:[255]	S -> E
T:0.277	nS:9841	nQ:0	nE:9	nI:143	nP:0	nR:7	nF:0	node:[3224]	I -> R
T:0.280	nS:9841	nQ:0	nE:9	nI:142	nP:0	nR:8	nF:0	node:[5364]	S -> E
T:0.287	nS:9840	nQ:0	nE:10	nI:142	nP:0	nR:8	nF:0	node:[5372]	S -> E
T:0.304	nS:9839	nQ:0	nE:11	nI:142	nP:0	nR:8	nF:0	node:[2645]	S -> E
T:0.312	nS:9838	nQ:0	nE:12	nI:142	nP:0	nR:8	nF:0	node:[6521]	I -> R
T:0.317	nS:9838	nQ:0	nE:12	nI:141	nP:0	nR:9	nF:0	node:[9496]	S -> E
T:0.319	nS:9837	nQ:0	nE:13	nI:141	nP:0	nR:9	nF:0	node:[7927]	S -> E
T:0.348	nS:9836	nQ:0	nE:14	nI:141	nP:0	nR:9	nF:0	node:[1472]	I -> R
T:0.362	nS:9836	nQ:0	nE:14	nI:140	nP:0	nR:10	nF:0	node:[956]	I -> R
T:0.364	nS:9836	nQ:0	nE:14	nI:139	nP:0	nR:11	nF:0	node:[8736]	I -> R
T:0.380	nS:9836	nQ:0	nE:14	nI:138	nP:0	nR:12	nF:0	node:[3498]	S -> E
T:0.395	nS:9835	nQ:0	nE:15	nI:138	nP:0	nR:12	nF:0	node:[9093]	S -> E
T:0.403	nS:9834	nQ:0	nE:16	nI:138	nP:0	nR:12	nF:0	node:[8948]	I -> R
T:0.428	nS:9834	nQ:0	nE:16	nI:137	nP:0	nR:13	nF:0	node:[868]	S -> E
T:0.435	nS:9833	nQ:0	nE:17	nI:137	nP:0	nR:13	nF:0	node:[6687]	I -> R
T:0.440	nS:9833	nQ:0	nE:17	nI:136	nP:0	nR:14	nF:0	node:[8708]	S -> E
T:0.442	nS:9832	nQ:0	nE:18	nI:136	nP:0	nR:14	nF:0	node:[2721]	I -> R
