T:0.008	nS:9850	nQ:0	nE:0	nI:150	nP:0	nR:0	nF:0	node:[2659]	I -> R
T:0.017	nS:9850	nQ:0	nE:0	nI:149	nP:0	nR:1	nF:0	node:[3337]	I -> R
T:0.040	nS:9850	nQ:0	nE:0	nI:148	nP:0	nR:2	nF:0	node:[1414]	S -> E
T:0.051	nS:9849	nQ:0	nE:1	nI:148	nP:0	nR:2	nF:0	node:[8828]	S -> E
T:0.086	nS:9848	nQ:0	nE:2	nI:148	nP:0	nR:2	nF:0	node:[9008]	I -> R
T:0.101	nS:9848	nQ:0	nE:2	nI:147	nP:0	nR:3	nF:0	node:[2171]	S -> E
T:0.125	nS:9847	nQ:0	nE:3	nI:147	nP:0	nR:3	nF:0	node:[9680]	I -> R
T:0.131	nS:9847	nQ:0	nE:3	nI:146	nP:0	nR:4	nF:0	node:[7129]	S -> E
T:0.155	nS:9846	nQ:0	nE:4	nI:146	nP:0	nR:4	nF:0	node:[5670]	S -> E
T:0.162	nS:9845	nQ:0	nE:5	nI:146	nP:0	nR:4	nF:0	node:[5874]	I -> R
T:0.196	nS:9845	nQ:0	nE:5	nI:145	nP:0	nR:5	nF:0	node:[8205]	S -> E
T:0.214	nS:9844	nQ:0	nE:6	nI:145	nP:0	nR:5	nF:0	node:[4182]	I -> R
T:0.224	nS:9844	nQ:0	nE:6	nI:144	nP:0	nR:6	nF:0	node:[2162]	S -> E
T:0.259	nS:9843	nQ:0	nE:7	nI:144	nP:0	nR:6	nF:0	node:[9661]	I -> R
T:0.268	nS:9843	nQ:0	nE:7	nI:143	nP:0	nR:7	nF:0	node:[757]	S -> E
T:0.278	nS:9842	nQ:0	nE:8	nI:143	nP:0	nR:7	nF:0	node:[278]	S -> E
T:0.293	nS:9841	nQ:0	nE:9	nI:143	nP:0	nR:7	nF:0	node:[3533]	I -> R
T:0.296	nS:9841	nQ:0	nE:9	nI:142	nP:0	nR:8	nF:0	node:[5514]	S -> E
T:0.304	nS:9840	nQ:0	nE:10	nI:142	nP:0	nR:8	nF:0	node:[5547]	S -> E
T:0.321	nS:9839	nQ:0	nE:11	nI:142	nP:0	nR:8	nF:0	node:[2655]	S -> E
T:0.329	nS:9838	nQ:0	nE:12	nI:142	nP:0	nR:8	nF:0	node:[6738]	I -> R
T:0.334	nS:9838	nQ:0	nE:12	nI:141	nP:0	nR:9	nF:0	node:[9753]	S -> E
T:0.337	nS:9837	nQ:0	nE:13	nI:141	nP:0	nR:9	nF:0	node:[8181]	S -> E
T:0.368	nS:9836	nQ:0	nE:14	nI:141	nP:0	nR:9	nF:0	node:[2046]	I -> R
T:0.382	nS:9836	nQ:0	nE:14	nI:140	nP:0	nR:10	nF:0	node:[1434]	I -> R
T:0.385	nS:9836	nQ:0	nE:14	nI:139	nP:0	nR:11	nF:0	node:[8752]	I -> R
T:0.401	nS:9836	nQ:0	nE:14	nI:138	nP:0	nR:12	nF:0	node:[3584]	S -> E
T:0.417	nS:9835	nQ:0	nE:15	nI:138	nP:0	nR:12	nF:0	node:[9457]	S -> E
T:0.426	nS:9834	nQ:0	nE:16	nI:138	nP:0	nR:12	nF:0	node:[8948]	I -> R
T:0.452	nS:9834	nQ:0	nE:16	nI:137	nP:0	nR:13	nF:0	node:[881]	S -> E
T:0.459	nS:9833	nQ:0	nE:17	nI:137	nP:0	nR:13	nF:0	node:[6744]	I -> R
T:0.464	nS:9833	nQ:0	nE:17	nI:136	nP:0	nR:14	nF:0	node:[8889]	S -> E
T:0.466	nS:9832	nQ:0	nE:18	nI:136	nP:0	nR:14	nF:0	node:[2934]	I -> R
T:0.470	nS:9832	nQ:0	nE:18	nI:135	nP:0	nR:15	nF:0	node:[881]	E -> I
T:0.474	nS:9832	nQ:0	nE:17	nI:136	nP:0	nR:15	nF:0	node:[7645]	S -> E
T:0.482	nS:9831	nQ:0	nE:18	nI:136	nP:0	nR:15	nF:0	node:[7221]	I -> P
T:0.498	nS:9831	nQ:9	nE:18	nI:135	nP:1	nR:15	nF:0	node:[6921]	I -> R
T:0.502	nS:9831	nQ:9	nE:18	nI:134	nP:1	nR:16	nF:0	node:[5414]	S -> E
T:0.509	nS:9830	nQ:9	nE:19	nI:134	nP:1	nR:16	nF:0	node:[0]	S -> E
T:0.522	nS:9829	nQ:9	nE:20	nI:134	nP:1	nR:16	nF:0	node:[7000]	S -> E
T:0.523	nS:9828	nQ:9	nE:21	nI:134	nP:1	nR:16	nF:0	node:[1071]	I -> R
T:0.531	nS:9828	nQ:9	nE:21	nI:133	nP:1	nR:17	nF:0	node:[4187]	I -> R
T:0.532	nS:9828	nQ:9	nE:21	nI:132	nP:1	nR:18	nF:0	node:[5259]	S -> E
T:0.532	nS:9827	nQ:9	nE:22	nI:132	nP:1	nR:18	nF:0	node:[7842]	S -> E
T:0.536	nS:9826	nQ:9	nE:23	nI:132	nP:1	nR:18	nF:0	node:[2449]	S -> E
T:0.539	nS:9825	nQ:9	nE:24	nI:132	nP:1	nR:18	nF:0	node:[25]	I -> R
T:0.559	nS:9825	nQ:9	nE:24	nI:131	nP:1	nR:19	nF:0	node:[4984]	I -> R
T:0.563	nS:9825	nQ:9	nE:24	nI:130	nP:1	nR:20	nF:0	node:[4895]	S -> E
T:0.583	nS:9824	nQ:9	nE:25	nI:130	nP:1	nR:20	nF:0	node:[2418]	I -> R
T:0.585	nS:9824	nQ:9	nE:25	nI:129	nP:1	nR:21	nF:0	node:[3539]	S -> E
T:0.606	nS:9823	nQ:9	nE:26	nI:129	nP:1	nR:21	nF:0	node:[2107]	S -> E
T:0.609	nS:9822	nQ:9	nE:27	nI:129	nP:1	nR:21	nF:0	node:[456]	S -> E
T:0.613	nS:9821	nQ:9	nE:28	nI:129	nP:1	nR:21	nF:0	node:[1563]	S -> E
T:0.630	nS:9820	nQ:9	nE:29	nI:129	nP:1	nR:21	nF:0	node:[3224]	I -> R
T:0.666	nS:9820	nQ:9	nE:29	nI:128	nP:1	nR:22	nF:0	node:[3672]	S -> E
T:0.680	nS:9819	nQ:9	nE:30	nI:128	nP:1	nR:22	nF:0	node:[1472]	I -> P
T:0.687	nS:9819	nQ:24	nE:30	nI:127	nP:2	nR:22	nF:0	node:[149]	S -> E
T:0.689	nS:9818	nQ:24	nE:31	nI:127	nP:2	nR:22	nF:0	node:[9797]	I -> R
T:0.709	nS:9818	nQ:24	nE:31	nI:126	nP:2	nR:23	nF:0	node:[9086]	S -> E
T:0.715	nS:9817	nQ:24	nE:32	nI:126	nP:2	nR:23	nF:0	node:[4420]	I -> R
T:0.733	nS:9817	nQ:24	nE:32	nI:125	nP:2	nR:24	nF:0	node:[8176]	S -> E
T:0.734	nS:9816	nQ:24	nE:33	nI:125	nP:2	nR:24	nF:0	node:[8764]	S -> E
T:0.738	nS:9815	nQ:24	nE:34	nI:125	nP:2	nR:24	nF:0	node:[8717]	S -> E
T:0.742	nS:9814	nQ:24	nE:35	nI:125	nP:2	nR:24	nF:0	node:[8945]	S -> E
T:0.744	nS:9813	nQ:24	nE:36	nI:125	nP:2	nR:24	nF:0	node:[3347]	S -> E
T:0.747	nS:9812	nQ:24	nE:37	nI:125	nP:2	nR:24	nF:0	node:[9225]	I -> R
T:0.750	nS:9812	nQ:24	nE:37	nI:124	nP:2	nR:25	nF:0	node:[9781]	I -> R
T:0.814	nS:9812	nQ:24	nE:37	nI:123	nP:2	nR:26	nF:0	node:[4904]	S -> E
